Columns,Type,Options,Indexes
RailID,VARCHAR(2),NOT NULL,PRIMARY
LineID,VARCHAR(2),NOT NULL,PRIMARY
StationID,VARCHAR(10),NOT NULL,PRIMARY
StationName,VARCHAR(20),NOT NULL,
oldAddress,VARCHAR(60),,
roadAddress,VARCHAR(60),,
lon,CHAR(20),,
lat,CHAR(20),,
coordinates,POINT,NOT NULL SRID 4326,
